t,g,z_hat,Ω,E,v_1,L_tilde,entry_residual,λ_ii,S,z_bar,c,π_min,log_M,U,π_rat,L_tilde_a,L_tilde_x,L_tilde_E,w,r
-20.0,0.007920170474384551,1.9881975410334118,0.6852422606332954,0.02,6.8667776533940765,0.24226457898667364,-1.5702994460298214e-12,0.8946331656513381,0.165460172074809,1.1501440995922705,0.8715049235305422,0.25824287791839795,-0.15840340948769102,12.385290141176405,1.8582891672524313,0.11338030235731618,0.020841617932341166,0.10804265869701626,0.7869702279554966,0.048258215142901545
-15.0,0.007920170474384551,1.9881975410334118,0.6852422606332954,0.02,6.8667776533940765,0.24226457898667364,-1.5702994460298214e-12,0.8946331656513381,0.165460172074809,1.1501440995922705,0.8715049235305422,0.25824287791839795,-0.11880255711576827,12.385290141176405,1.8582891672524313,0.11338030235731618,0.020841617932341166,0.10804265869701626,0.7869702279554966,0.048258215142901545
-10.0,0.007920170474384551,1.9881975410334118,0.6852422606332954,0.02,6.8667776533940765,0.24226457898667364,-1.5702994460298214e-12,0.8946331656513381,0.165460172074809,1.1501440995922705,0.8715049235305422,0.25824287791839795,-0.07920170474384551,12.385290141176405,1.8582891672524313,0.11338030235731618,0.020841617932341166,0.10804265869701626,0.7869702279554966,0.048258215142901545
-5.0,0.007920170474384551,1.9881975410334118,0.6852422606332954,0.02,6.8667776533940765,0.24226457898667364,-1.5702994460298214e-12,0.8946331656513381,0.165460172074809,1.1501440995922705,0.8715049235305422,0.25824287791839795,-0.039600852371922755,12.385290141176405,1.8582891672524313,0.11338030235731618,0.020841617932341166,0.10804265869701626,0.7869702279554966,0.048258215142901545
-1.0,0.007920170474384551,1.9881975410334118,0.6852422606332954,0.02,6.8667776533940765,0.24226457898667364,-1.5702994460298214e-12,0.8946331656513381,0.165460172074809,1.1501440995922705,0.8715049235305422,0.25824287791839795,-0.007920170474384551,12.385290141176405,1.8582891672524313,0.11338030235731618,0.020841617932341166,0.10804265869701626,0.7869702279554966,0.048258215142901545
0.0,0.008983445348764694,1.8750395466217473,0.6852422606332954,0.015863875914177747,6.866777653394309,0.2306328190561426,0.0,0.8609878273383774,0.1707648255296345,1.1706714503831188,0.9006761935927169,0.2523460072812825,0.0,17.428837362490288,1.8918290484047908,0.11701527508257703,0.02791877742319941,0.08569876655036616,0.8010157844530895,0.04756324266430627
0.25,0.00899196018686166,1.8748841088428783,0.6849297191342665,0.01591059828059408,6.866777653394309,0.23082055213354322,0.0,0.860959823616657,0.17080730585755038,1.1704425803442104,0.9002803777085507,0.2523913434361067,0.0022469259533054392,17.54367290614672,1.8918580561840257,0.11699100002709273,0.02791758776300968,0.08591196434344078,0.8008591832874132,0.0475818684272092
0.5,0.009000462435205648,1.8747289401839198,0.6846186755648317,0.01595704557912368,6.866777653394309,0.2310069814571583,0.0,0.8609318613455322,0.17084972337548335,1.1702147987591571,0.8998870104413084,0.2524366128040169,0.004495979045954739,17.658640285582926,1.8918870229093747,0.11696691133794128,0.027916434385521657,0.0861236357336954,0.8007033268812663,0.047600471548886775
0.75,0.009008952039976644,1.874574041364349,0.6843091273862767,0.016003217730293135,6.866777653394309,0.23119210949024727,0.0,0.8609039406892951,0.1708920778149267,1.1699881044094818,0.899496086472558,0.2524818151220108,0.006747156117320761,17.7737389026939,1.8919159484024433,0.11694300864676019,0.027915317202399974,0.08633378364108711,0.8005482144009228,0.047619036841346454
1.0,0.009017429143585293,1.8744194099016405,0.6840010668456453,0.016049114897177016,6.866777653394309,0.23137593912433294,0.0,0.8608760612349431,0.1709343698863638,1.1697624923184309,0.8991075971058337,0.25252695174334794,0.009000454021380194,17.88896834727673,1.891944833082932,0.11691929136286099,0.027914236150113472,0.08654241161135845,0.8003938424411078,0.0476375763573135
1.25,0.00902589389408377,1.8742650425223204,0.683694490566805,0.016094736964054144,6.866777653394309,0.23155847327308507,0.0,0.8608482224263241,0.1709766003284234,1.169537961044611,0.898721536350204,0.2525720223608251,0.011255869664405537,18.004328108459333,1.8919736775189895,0.11689575966038566,0.027913191401983322,0.08674952221071609,0.8002402100155676,0.047656088567522875
1.5,0.009034346170744523,1.8741109415711807,0.6833893942488637,0.016140084016263177,6.866777653394309,0.2317397142605686,0.0,0.8608204247202379,0.17101876853879872,1.1693145077754081,0.8983378978627976,0.2526170275018128,0.013513399924511824,18.119817679930286,1.8920024812292784,0.11687241263691628,0.02791218267580212,0.08695511894785017,0.8000873151998098,0.047674564635428775
