t,g,λ_ii,c,L_tilde,Ω,π_rat,L_tilde_a,L_tilde_x,L_tilde_E,r
0.0,0.007980531098440907,0.862824483699765,0.8960304390303069,0.22383989623234016,0.9612872210264621,2.15919460060863,0.10107738412548557,0.027721760724787214,0.09504075138206734,0.048230921613245895
0.21994049335247468,0.008006539103389486,0.862746848786758,0.8957842081079239,0.22394521604304757,0.9605697198557835,2.15948850355646,0.10112689782431458,0.027733202234747137,0.09508511598398584,0.048236435923819834
0.5,0.00804062571247999,0.8626490031206631,0.8954656303241982,0.2240846207008414,0.9596630255143968,2.1598598190974796,0.10119505999379586,0.02774751565235126,0.09514204505469429,0.04820889062073266
1.0,0.00810608230332793,0.8624662997779724,0.8948695672940571,0.2243618135085998,0.9580635152274048,2.1605607917444436,0.1013400647159907,0.027776842437012204,0.09524490635559688,0.0482468072779267
1.5,0.008173583943135243,0.8622798196648205,0.894261586993662,0.22465407303165089,0.9564885758189913,2.161281048622647,0.10149641297931436,0.027808315957926977,0.09534934409440952,0.048346852576645324
2.0,0.008238615982638909,0.862097224189531,0.8936685612632126,0.2249366393394224,0.9549380948186902,2.1619857345423794,0.10164250555475161,0.027838766641189377,0.09545536714348142,0.04850426863490715
2.5,0.008296663772575909,0.8619262251948773,0.8931171827197019,0.22518487144820473,0.9534119616187267,2.1626396641441814,0.1017568826078943,0.027865004401210966,0.09556298443909947,0.048714286674255425
3.0,0.00834321266368322,0.8617745795743228,0.8926339686940983,0.2253742455497123,0.9519100674608324,2.163207364177533,0.10181821821594544,0.0278838223510623,0.09567220498270455,0.04890949719070917
3.239590055306243,0.008360120582252798,0.8617110536716054,0.8924343008281141,0.2254369788195801,0.951198948508177,2.1634383922825666,0.10182259842124058,0.02788926826430205,0.09572511213403746,0.04895191682755487
3.5,0.008377403635144576,0.8616423777724088,0.892223260352487,0.22550092148366643,0.9504323054233557,2.163687716700809,0.101822693324131,0.027895190317419376,0.09578303784211606,0.04890628387940975
4.0,0.008414990882117982,0.8614969419318108,0.8917901376971613,0.22565348496065268,0.9489785704085749,2.1642274741183374,0.10184536195078785,0.027912630857109107,0.09589549215275574,0.048912461961931
4.5,0.00845471718129178,0.8613447689752698,0.8913432270148506,0.2258232084615533,0.9475486874217709,2.164798808238889,0.10188018619922143,0.02793345240925792,0.09600956985307392,0.04820211962851016
5.0,0.008492237336865431,0.8611991477064107,0.890562486166759,0.22628727282099564,0.9461520980251124,2.1653880405464587,0.10190758804297445,0.027952443000612233,0.09642724177740895,0.047858623936891956
5.5,0.008523206153038391,0.8610734355414712,0.8896129347237354,0.22690463052988874,0.9448155814949081,2.1659214322515687,0.10190998708257441,0.02796488254925968,0.09702976089805466,0.048035276416087805
6.0,0.008543278434010121,0.8609810426353579,0.8887291300282518,0.22746974851857796,0.9435435227091011,2.1663140152317153,0.10186750933276127,0.027965379135114234,0.09763686005070243,0.04820470749593814
6.259239617260011,0.008547960132724977,0.8609506938292152,0.8883056356173272,0.22773343304969818,0.9429081852028879,2.1664424348861737,0.10182099658425922,0.02795907730465089,0.09795335916078805,0.048264778134535606
6.5,0.008550272427888044,0.8609285329836992,0.8879243504670423,0.22796926053413932,0.94233268782972,2.1665363932133492,0.10176974953446302,0.027951157732579206,0.0982483532670971,0.048256374211016695
7.0,0.00855539295074566,0.8608802215112884,0.8871282845811966,0.2284711029612278,0.9411832517259254,2.1667452615925455,0.10166971852188311,0.02793698191452556,0.09886440252481914,0.048247382860768795
7.5,0.0085608772208821,0.8608292896067967,0.8863266785189365,0.2289894530224876,0.9400979183068664,2.1669709403813258,0.10157826526197775,0.027925749777639938,0.0994854379828699,0.048239534988746446
8.0,0.008566645259668163,0.8607763055299943,0.885519893826924,0.22952404052839914,0.9390774560403061,2.167211135768065,0.1014950964962047,0.027917252105926736,0.10011169192626772,0.048233224197327
8.5,0.008572617088474649,0.860721838490071,0.8847085003779733,0.23007394813758952,0.9381199725281002,2.167463305117177,0.10141963362440404,0.027911201215641147,0.10074311329754437,0.04822812123826857
9.0,0.008578712728672352,0.8606664587362305,0.8838929559240735,0.23063858793868927,0.9372249301288144,2.167725021828944,0.10135144629666747,0.027907349977006782,0.10137979166501504,0.048435640074247985
9.5,0.008584852201632074,0.8606107376191867,0.8831671039491221,0.23113597590369814,0.9363912537373352,2.1679817730361934,0.10129004767498925,0.02790543537820297,0.1019404928505059,0.049070201551804624
10.0,0.008590955528724615,0.8605552476234632,0.8827191645462671,0.23139880696436918,0.935600114428597,2.1682053168236073,0.10123303127029258,0.027904664794430364,0.10226111089964625,0.0490729663513719
10.5,0.008596942731320773,0.8605005623703819,0.8822699795942448,0.2316686187358291,0.9348437514502445,2.168428561554167,0.10117918747712135,0.027904574022193002,0.10258485723651477,0.04907681736420878
11.0,0.008602733830791347,0.8604472565916295,0.8818200813487392,0.23194483334692811,0.9341220815164734,2.168649054301054,0.10112813803769502,0.027904927267373557,0.10291176804185954,0.049081671693846377
11.5,0.008608248848507137,0.8603959060732873,0.881369999700516,0.2322268744719442,0.9334350252032841,2.168864334926508,0.10107950608103236,0.027905488612182852,0.103241879778729,0.04908744699130442
12.0,0.008613407805838937,0.860347087570222,0.8809202624171544,0.23251416718271722,0.9327825069339137,2.1690719363622737,0.10103291598423693,0.02790602199923164,0.10357522919924864,0.049094061397180075
12.5,0.008618130724157552,0.8603013786907409,0.8804713953617215,0.2328061378253855,0.9321644549649819,2.1692693851061264,0.10098799323439779,0.02790629123954806,0.10391185335143965,0.04910143744637524
