t,g,z_hat,Ω,E,v_1,L_tilde,entry_residual,λ_ii,S,z_bar,c,π_min,log_M,U,π_rat,L_tilde_a,L_tilde_x,L_tilde_E,w,r
0.0,0.00898343535722083,1.875039729183085,0.6852422606342697,0.01586392023476229,6.866777653394309,0.23063301076304313,0.0,0.8609878602245429,0.1707647756820561,1.1706714297487417,0.9006759532915131,0.2523459540412308,0.0,17.428827980068554,1.89182901434062,0.1170152409250761,0.02791876386178955,0.08569900597617747,0.8010157703343018,0.047563212092361695
0.25,0.008991950433294295,1.8748842870126199,0.6849297137313446,0.01591064301016663,6.866777653394309,0.2308207452729945,0.0,0.8609598557198137,0.1708072571972311,1.1704425559428846,0.9002801328809195,0.2523912914631442,0.002246923485186326,17.543663547577154,1.8918580229287483,0.11699096577533566,0.02791757430703179,0.08591220519062708,0.8008591665911428,0.04758183841090285
0.5,0.00900045291850337,1.8747291139864297,0.684618664816084,0.015957090709785543,6.866777653394309,0.23100717599363557,0.0,0.8609318926696612,0.17084967589687847,1.1702147706318016,0.8998867611621091,0.25243656209169824,0.0044959741690815715,17.658630944923992,1.891886990458975,0.11696687699678163,0.027916421035362952,0.08612387796149097,0.8007033076355115,0.047600442086213064
0.75,0.00900894275883426,1.8745742108241044,0.6843091113496095,0.01600326325427494,6.866777653394309,0.2311923053883909,0.0,0.8609039712384021,0.17089203151152466,1.169988072596922,0.8994958328163196,0.2524817656638706,0.006747148890735345,17.773729585013314,1.8919159167528787,0.1169429742203809,0.02791530395843682,0.08633402720957317,0.8005481926336179,0.047619007928613157
1.0,0.009017420096933855,1.8744195750428458,0.6840010455783253,0.016049160806604,6.866777653394309,0.23137613634901488,0.0,0.8608760910129892,0.17093432475283155,1.1697624568610665,0.8991073391464217,0.25252690353303375,0.009000444503855703,17.88895905570652,1.891944802230206,0.1169192568561618,0.027914223012720514,0.08654265648013258,0.8003938181798955,0.0476375479921858
1.25,0.009025885080478163,1.874265203369008,0.6836944641258584,0.01609478325130724,6.866777653394309,0.23155867178939243,0.0,0.8608482514372432,0.1709765563575514,1.1695379219827182,0.8987212741610738,0.252571975391962,0.011255857914365033,18.004318852748916,1.8919736474591315,0.11689572507696075,0.027913178371542204,0.08674976834088952,0.8002401832880064,0.04765606074751237
1.5,0.009034337589218882,1.8741110981476297,0.683389362691138,0.016140130673432146,6.866777653394309,0.23173991403376093,0.0,0.8608204529680125,0.17101872572576818,1.1693144651491414,0.8983376315170463,0.2526169817680164,0.013513386000111215,18.119808446255472,1.8920024519582672,0.11687237798198324,0.027912169752672997,0.0869553662991047,0.800087286033375,0.047674537358000646
1.75,0.00904277795126071,1.8739572530241781,0.6830857340565273,0.01618520309016115,6.866777653394309,0.23191986619782481,0.0,0.8607926944926553,0.17106083449438858,1.169092082221387,0.8979564029396666,0.2526619235493348,0.015773025700462965,18.2354273907669,1.8920312168725604,0.11684921569892155,0.02791119740071339,0.08715945309818986,0.7999351235839826,0.04769299222810207
2.0,0.00905120604693471,1.8738036699912237,0.6827835760784956,0.01623000047179222,6.866777653394309,0.23209853069032227,0.0,0.8607649764039867,0.17110288206638707,1.1688707721164648,0.8975775833413708,0.25270680042557586,0.018034773952548655,18.35117512383709,1.8920599417870752,0.11682623769462486,0.02791026114689032,0.08736203184880709,0.7997836951988079,0.04771141287737808
2.25,0.009059622067824399,1.8736503455125382,0.6824828818125016,0.01627452287475557,6.866777653394309,0.23227591019774096,0.0,0.8607372980969499,0.17114486939756934,1.1686505305781625,0.8972011648850469,0.2527516134809148,0.02029862771472979,18.467051187540548,1.892088627320999,0.11680344367387734,0.02790936103668058,0.08756310548718305,0.7996329979655963,0.04772980510160403
2.5,0.009068026083234771,1.8734972779226786,0.6821836467262377,0.016318770315820602,6.866777653394309,0.23245200742730796,0.0,0.8607096593036558,0.17118679683369634,1.1684313550369285,0.8968271410175849,0.25279636300278535,0.022564583988260115,18.58305505702092,1.8921172737442193,0.11678083333539452,0.02790849707468747,0.08776267701722595,0.799483030126168,0.047748172697751085
2.75,0.009076418076561978,1.8733444675668187,0.681885867745295,0.016362742783705277,6.866777653394309,0.2326268249635624,0.0,0.8606820601190613,0.17122866429193193,1.1682132438418675,0.89645550604655,0.25284104888786946,0.024832639750719088,18.699186286552614,1.8921458809505955,0.11675840633357182,0.027907669175358727,0.08796074945463185,0.7993337905509202,0.04776650479381038
3.0,0.009084798295472226,1.8731919096666279,0.6815895371544565,0.016406440335666704,6.866777653394309,0.23280036542930535,0.0,0.8606544997124427,0.17127047300787693,1.1679961922464057,0.8960862518714052,0.25288567247173505,0.02710279204613726,18.81544430772035,1.8921744497935522,0.11673616242566366,0.02790687744361591,0.08815732556002577,0.7991852759920757,0.04778481377177372
3.25,0.009093166687302926,1.8730396048832267,0.681294652426253,0.01644986296034691,6.866777653394309,0.23297263139381053,0.0,0.8606269782352142,0.171312222718799,1.167780198983159,0.8957193731364649,0.2529302334758873,0.029375037918491446,18.931828713636968,1.8922029801085722,0.11671410123357301,0.027906121792009686,0.08835240836822782,0.7990374855824441,0.047803092857378174
3.5,0.009101523356413848,1.8728875513752559,0.6810012081669415,0.016493010694189503,6.866777653394309,0.23314362539812467,0.0,0.860599495386505,0.17135391394534652,1.1675652607952056,0.8953548630045044,0.252974732564099,0.03164937441133902,19.048338909966194,1.8922314722000175,0.1166922224209151,0.027905402201369892,0.08854600077583966,0.7988904170935217,0.04782134013878372
3.75,0.009109868490810136,1.8727357453669138,0.6807091983234097,0.016535883573430856,6.866777653394309,0.23331335015516372,0.0,0.8605720505153094,0.17139554762547282,1.167351374115691,0.8949927142125251,0.25301917048921135,0.03392579862420725,19.1649744379161,1.8922599267353657,0.11667052582033739,0.027904718768862014,0.08873810556596429,0.7987440680847374,0.04783956699519688
4.0,0.009118202044961058,1.8725841874776064,0.680418620691008,0.01657848151171786,6.866777653394309,0.23348180789108747,0.0,0.8605446437648122,0.1714371235320261,1.167138537919198,0.8946329220264633,0.2530635469710305,0.03620430771970319,19.281734751828747,1.8922883435587903,0.11664901112889514,0.027904071422280696,0.08892872533991161,0.7985984378544642,0.0478577581747794
4.25,0.009126524157154784,1.8724328752142332,0.6801294677475508,0.0166208046764089,6.866777653394309,0.233649001199111,0.0,0.8605172747152187,0.17147864235492277,1.1669267473176783,0.8942754783343754,0.2531078634224842,0.0384848986969062,19.398619375496235,1.8923167230982185,0.11662767775492625,0.027903460102400843,0.08911786334178395,0.7984535230581217,0.047875924878767726
4.5,0.00913483500005548,1.872281804999727,0.6798417361142057,0.016662852956878707,6.866777653394309,0.23381493277155624,0.0,0.8604899427501188,0.1715201049555804,1.1667160008186743,0.8939203775237571,0.2531521196285083,0.04076756881908186,19.515627788473406,1.8923450659855925,0.11660652593149257,0.02790288500008784,0.08930552183997581,0.7983093226745169,0.04789406706334534
4.75,0.009143134450515138,1.8721309791329992,0.679555421952273,0.01670462642432598,6.866777653394309,0.23397960465242262,0.0,0.8604626483159188,0.17156151071961637,1.166506295894779,0.8935676139567567,0.25319631607406534,0.043052315234762634,19.63275958648317,1.8923733717507933,0.11658555480783832,0.027902345850146684,0.08949170399443766,0.7981658349743063,0.0479121745565452
5.0,0.009151422843099784,1.8719803912186663,0.6792705180388617,0.016746125110657616,6.866777653394309,0.23414301968146362,0.0,0.8604353902854444,0.1716028613161728,1.166297628315731,0.8932171797745565,0.2532404537821775,0.04533913514201518,19.750014064867184,1.8924016415556344,0.11656476450318765,0.027901842894485676,0.08967641228379027,0.7980230570629919,0.0479302621976457
