t,g,z_hat,Ω,E,v_0,L_tilde,entry_residual,λ_ii,S,z_bar,c,π_min,log_M,U
0.0,0.015586039172634878,1.7463822035370786,3.942882299266904,-0.008269062258112317,1.788276179569189,0.14059284850933254,-0.011723820430810772,0.7751490652346447,0.04968009464010547,3.694776437250707,3.175317293332467,0.1163002912471417,0.0,106.74891731007357
3.1501797255570763,0.01622899062841427,1.729377124748871,3.829996528069079,-0.008173128184458988,1.7932812841360157,0.14655441057557472,-0.006718715863984093,0.773116840008616,0.05172969529083902,3.6462840375996364,3.111905029678095,0.11702949915912914,0.05011153092362961,109.58396508523919
8.696262075616463,0.01694079806103172,1.7037161942706907,3.6456657804921226,-0.007201939419738121,1.7957837306220683,0.15936337689779984,-0.004216269377931514,0.7699870481586779,0.05399879502453692,3.5646803208707474,2.996600827375653,0.11791192301037211,0.14209272059747405,114.73852702727386
17.854907816829765,0.017612119316144988,1.6740960353360865,3.420279770539844,-0.005036698091523497,1.796049617404366,0.17950969955107965,-0.003950382595633739,0.7662767756834304,0.056138832921587,3.4610817468841946,2.839784002379287,0.11853090456293885,0.3003216845345693,123.6680356467474
28.03118086262232,0.018373696681738775,1.647425283363727,3.238905614601944,-0.0034833629271348527,1.7982658880704805,0.19371837669294015,-0.001734111929519333,0.7628430408934506,0.05856658924762687,3.3756345594838093,2.7217121123120176,0.11942667505903745,0.4834224245706461,134.0536039183531
38.20745390841488,0.01879288087538464,1.6302659529786065,3.1199408412652554,-0.0020210843809311957,1.7978645520568954,0.20471091818086093,-0.002135447943104385,0.7605857006129393,0.05990286462013116,3.317973966876448,2.638748469616977,0.11984558796400487,0.6725310484500352,144.73440181535915
48.38372695420743,0.019106542654552843,1.6179597036033984,3.041013970953586,-0.001097784081008391,1.799558600135384,0.2112800119583733,-0.00044139986461577685,0.7589429562681844,0.06090275563976356,3.2792800961134487,2.5864337581917436,0.12025810008977356,0.8653684872378906,155.51327647280362
58.55999999999999,0.01950557717792338,1.6069040645329167,2.9810199160858986,-0.00074453895954061,1.8032866028292787,0.2146195780649843,0.0032866028292788396,0.75744984939776,0.06217479789336416,3.2499701315121916,2.5524629131632435,0.12082886767479042,1.0618322254586483,166.17096773042525
89.27999999999999,0.01987256306001307,1.5946283839689115,2.8934274646467073,0.0006929676372539803,1.8023167651247527,0.22419685872922726,0.002316765124752873,0.7557724550122935,0.06334467548828968,3.205417788142283,2.4867731891259957,0.12101435640319348,1.6666804883483408,194.93698593265478
104.63999999999999,0.019892740661446154,1.5937224250526179,2.885109097642247,0.0008932657172819198,1.8009125320674157,0.22541977931433105,0.0009125320674159276,0.7556478382663171,0.06340899764613805,3.2010707326020214,2.4794860744893095,0.12098767652910372,1.9720779485011803,204.8855945560338
112.32,0.01989202786780121,1.5936233072875674,2.8834243754215056,0.0009518797708255102,1.8003618235838061,0.22576180998922232,0.00036182358380631996,0.7556341974778196,0.0634067254025567,3.200164868620136,2.477689855616532,0.12096848471819795,2.12485149379919,207.83247022340487
116.16,0.019887707910324733,1.5936448007819675,2.883033867432363,0.000976724271423792,1.80012961605962,0.2258905737616084,0.00012961605962025224,0.7556371555720396,0.06339295424211319,3.199941895457749,2.4771051846889898,0.12095679414323489,2.2012286058714814,208.63644579678015
118.08,0.019883667875570245,1.5936644917072131,2.8829372382638994,0.0009883621357118962,1.8000421859677531,0.2259384292831905,4.218596775329431e-5,0.755639865527032,0.06338007541932283,3.199882531709483,2.476906098604323,0.12095156041607569,2.2394091149930935,208.84656666852163
119.03999999999999,0.019880587779093812,1.5936731910626347,2.8829130814778297,0.000994181067855948,1.8000129977916268,0.225954587677768,1.2997791627000765e-5,0.7556410627548844,0.06337025668777525,3.1998665904935804,2.476842054414738,0.12094963812269988,2.2584959558265383,208.90028868270846
119.52,0.01987862794179165,1.5936756918946873,2.88290704231294,0.000997090533927974,1.8000037598818597,0.2259594125249551,3.7598818598549855e-6,0.7556414069239329,0.06336400911842344,3.1998625102154485,2.4768234572465375,0.12094903843586209,2.2680377291487153,208.913871673588
119.75999999999999,0.01987754395048191,1.5936771075969458,2.882905532523694,0.000998545266963987,1.8000012412506967,0.22596097518690153,1.2412506968928483e-6,0.7556416017550638,0.06336055357092624,3.199861259806548,2.4768174890778734,0.12094884152256871,2.272808910262358,208.91728672273268
119.88,0.01987694836842722,1.593677334765079,2.882905155076506,0.0009992726334819935,1.8000004192532308,0.22596132751732156,4.1925323102098844e-7,0.755641633018267,0.0633586549744523,3.1998609841400647,2.4768161482928925,0.12094879688823337,2.2751941774671476,208.91814290436852
120.0,0.01987631222071574,1.5936781463189407,2.88290785218386,0.001,1.8000000000284515,0.22596150683601685,2.8451685452068887e-11,0.7556417447054117,0.06335662706277764,3.1998622444808813,2.4768165500503025,0.12094872122995981,2.277579367667507,208.91842877634372
