t,g,λ_ii,c,L_tilde,Ω,π_rat,L_tilde_a,L_tilde_x,L_tilde_E,r
0.0,0.007567569571503317,0.8629973687028769,1.0588460572828495,0.22487649928699982,0.961287221026461,2.2072631716336315,0.09909179637803255,0.027650229480377323,0.09813447342858996,0.047676044448125336
0.5,0.007612307540017686,0.8628297170778563,1.0581096080642063,0.2249761774690331,0.9599169840201307,2.2078839273229787,0.09916535003478504,0.027680081779407537,0.0981307456548405,0.04772715019193046
1.0,0.007656991084849312,0.8626602989683575,1.0573770376254743,0.22507836554149852,0.9585601107613855,2.2085158786031625,0.09923941306692233,0.027710955253673175,0.09812799722090297,0.047776916894155017
1.5,0.007701722696958285,0.862491954658651,1.056647659923521,0.22518238613217736,0.9572165500784753,2.2091448830140052,0.09931448094044229,0.027741676624122656,0.09812622856761243,0.04782545346261864
2.0,0.007746604867304701,0.8623275418197518,1.0559207942099886,0.22528755162562644,0.9558862513467541,2.2097566845089442,0.09939104638291212,0.027771065079780867,0.09812544016293347,0.04787249011651809
2.296514385694581,0.007773334247476511,0.8622330702294323,1.0554906524179315,0.22535017423830353,0.9551035898165003,2.2101055137648187,0.09943735946706424,0.02778737892767149,0.0981254358435678,0.04790512738923548
2.5,0.007791575739007115,0.8621687705679143,1.0551968337324142,0.22539286142991974,0.9545691644855303,2.2103426092361644,0.09946881476232244,0.02779841416557287,0.09812563250202441,0.04793731086060951
3.0,0.007835587716727412,0.8620082017487187,1.0544825675802365,0.22549640042190075,0.9532652399549015,2.2109390141638436,0.09954279308906433,0.027826801225539207,0.0981268061072972,0.047990471184508804
3.5,0.007879310708530521,0.8618465372192979,1.0537736050489717,0.22560109211384735,0.9519744287526651,2.21154304988661,0.0996161935145542,0.027855937070810553,0.09812896152848258,0.048030098728931034
4.0,0.007923820649832542,0.8616869862201648,1.053062962791825,0.22571073618183915,0.95069668241125,2.2121396397824062,0.0996941414397003,0.02788449539944421,0.09813209934269465,0.048057332411060874
4.5,0.007970193476049573,0.8615327764296192,1.052343709455941,0.22582909710070692,0.9494319529946852,2.2127135868401155,0.09978173494056197,0.027911142005648287,0.09813622015449666,0.0480804309542702
4.809856819414357,0.008000337831823048,0.8614413126628981,1.0518906389852467,0.22590845814905078,0.9486546950524708,2.2130512002281924,0.09984308244498856,0.02792610820426346,0.09813926749979877,0.04808361656631684
5.0,0.008019760470790985,0.8613854299551834,1.0516073189654025,0.22596182921294136,0.9481801930956074,2.2132585127681077,0.0998852564835792,0.02793524813339368,0.09814132459596848,0.048058726112272424
5.5,0.008074777168717188,0.8612314949767906,1.0508393822826843,0.226125125853539,0.9469413558322988,2.2138444093181677,0.10001533390725723,0.02796237861950759,0.09814741332677417,0.04808259268479712
